sort_order,time_label,stage_name,task,description_markdown,notice_markdown
101,09:30–09:50,報到,報到／入場,請至大安森林公園 7 號公共廁所出口旁進行報到,請提早抵達以免影響活動開始
102,10:00–10:20,分組,找夥伴 · 四人一組,找到三位夥伴組成四人小組，到報到台領取小組道具,找不到組員？工作人員會協助配對
103,10:20–11:00,Seminar,nuva 創辦人 林上哲：S2P 與 Prototype,S2P 與 Vibe Coding 核心邏輯,
104,11:10–11:50,Seminar,Plug and Play Jeremy：How to Pitch?,如何跟投資人講話、對應市場、安排商業模式,
105,12:00–12:10,午餐,領午餐,四人一組領取午餐，找一棵樹成為創業基地,請確認飲食別（葷/素）再領取
106,12:10–14:30,Idea to One,Antigravity Prototype 衝刺,分組把一個 Idea 雕磨成可試驗 Prototype,善用 AI 助手與現場工作人員
107,14:30–15:20,Pitch,Pitch Round A,A 組擔任新創公司 向 B 組投資人進行 Pitch,每組限時 Pitch
108,15:30–16:20,Pitch,Pitch Round B,B 組擔任新創公司 向 A 組投資人進行 Pitch,每組限時 Pitch
109,16:30–16:40,募資,投資時間：你要如何用這 5000 萬？,每位投資人分配 5000 萬到三個組別,
110,16:40–17:00,Stage,優秀作品舞台分享,募資最高的前三組透過 Google Meet 螢幕分享展示,
111,17:00–17:10,Stage,活動收尾,總結今日學到的技巧與觀察到的亮點,請確認個人物品帶齊
